"Nachname","Vorname","Stimmen","BFS-Nr.","Gemeindenamen","Bisher","Gewählt","Wahlkreis-Nr.","Wahlkreis","Kandidaten-Nr."
"Aglamaz","Simge","45","80261","Zürich, Kreis 11","0","0","6","KR 2019 - Wahlkreis VI, Stadt Zürich 11+12","6_1304"
"Aglamaz","Simge","27","90261","Zürich, Kreis 12","0","0","6","KR 2019 - Wahlkreis VI, Stadt Zürich 11+12","6_1304"
"Agosti","Reto","459","151","Erlenbach","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_308"
"Agosti","Reto","529","152","Herrliberg","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_308"
"Agosti","Reto","195","153","Hombrechtikon","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_308"
"Agosti","Reto","1189","154","Küsnacht","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_308"
"Agosti","Reto","478","155","Männedorf","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_308"
"Agosti","Reto","897","156","Meilen","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_308"
"Agosti","Reto","72","157","Oetwil am See","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_308"
"Agosti","Reto","660","158","Stäfa","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_308"
"Agosti","Reto","344","159","Uetikon am See","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_308"
"Agosti","Reto","499","160","Zumikon","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_308"
"Agosti","Reto","1076","161","Zollikon","0","0","10","KR 2019 - Wahlkreis X, Meilen","10_308"
"Agosti Monn","Theres","30","211","Altikon","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","92","213","Brütten","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","56","214","Dägerlen","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","29","215","Dättlikon","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","60","216","Dinhard","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","29","218","Ellikon a.d.Thur","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","149","219","Elsau","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","36","220","Hagenbuch","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","127","221","Hettlingen","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","201","223","Neftenbach","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","122","224","Pfungen","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","94","225","Rickenbach","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","29","226","Schlatt","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","249","227","Seuzach","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","351","228","Turbenthal","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","236","231","Zell","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","205","294","Elgg","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Agosti Monn","Theres","239","298","Wiesendangen","1","1","15","KR 2019 - Wahlkreis XV, Winterthur-Land","15_201"
"Aguilera","Victor","294","191","Dübendorf","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_510"
"Aguilera","Victor","167","192","Egg","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_510"
"Aguilera","Victor","132","193","Fällanden","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_510"
"Aguilera","Victor","122","194","Greifensee","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_510"
"Aguilera","Victor","141","195","Maur","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_510"
"Aguilera","Victor","78","196","Mönchaltorf","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_510"
"Aguilera","Victor","82","197","Schwerzenbach","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_510"
"Aguilera","Victor","852","198","Uster","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_510"
"Aguilera","Victor","134","199","Volketswil","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_510"
