bfs;gmd;hh1_risikopersonen;hh11_alleinstehend;hh12_paar_beide_alt;hh13_paar_eine_person_alt;hh2_kinderbetreuungsproblem;hh21_alleinerziehend;hh22_elternpaar;hh3_andere
155;Männedorf;30.99215134;13.92634333;12.47735963;4.58844838;18.15254578;1.348359831;16.80418595;50.85530288
156;Meilen;32.71506236;14.37480013;12.63191557;5.708346658;19.26766869;1.918771986;17.34889671;48.01726895
157;Oetwil a.S.;23.87695313;9.08203125;9.326171875;5.46875;20.65429688;2.34375;18.31054688;55.46875
158;Stäfa;34.87705536;14.90420878;14.10469151;5.868155076;16.41273194;1.719716398;14.69301554;48.7102127
159;Uetikon a.S.;31.7381317;12.48085758;13.59111792;5.666156202;19.06584992;1.684532925;17.381317;49.19601838
160;Zumikon;39.39647946;17.47694887;15.25565801;6.66387259;18.69237217;1.718357083;16.97401509;41.91114837
161;Zollikon;35.23053538;17.09170748;12.27833136;5.860496538;18.8312785;1.807127174;17.02415133;45.93818612
172;Fehraltorf;28.43391337;10.47760089;11.66234728;6.293965198;21.51055165;1.999259534;19.51129211;50.05553499
173;Hittnau;25.98944591;8.443271768;10.75197889;6.794195251;19.98680739;2.374670185;17.6121372;54.0237467
176;Lindau;29.3834718;10.40664626;12.59291648;6.383909051;19.19545256;1.705290774;17.49016178;51.42107564
177;Pfäffikon;31.16184113;12.84335561;12.36080178;5.957683742;17.33481811;1.744617669;15.59020045;51.50334076
178;Russikon;32.91855204;10.69004525;14.70588235;7.522624434;20.47511312;1.809954751;18.66515837;46.60633484
180;Weisslingen;32.09169054;10.74498567;14.18338109;7.163323782;18.26647564;1.790830946;16.4756447;49.64183381
181;Wila;30.54587689;11.96283391;11.2659698;7.317073171;17.07317073;1.742160279;15.33101045;52.38095238
182;Wildberg;29.42583732;10.28708134;11.48325359;7.655502392;20.09569378;2.631578947;17.46411483;50.4784689
191;Dübendorf;23.61741719;10.79270562;8.306661705;4.51804987;17.51395608;1.652400447;15.86155564;58.86862672
192;Egg;33.39459176;13.33683381;13.80939879;6.248359149;18.06248359;1.653977422;16.40850617;48.54292465
193;Fällanden;29.95536886;12.52297191;12.28668942;5.145707535;20.13651877;2.284064059;17.85245471;49.90811237
194;Greifensee;34.14096916;14.18502203;14.27312775;5.682819383;20.969163;2.158590308;18.81057269;44.88986784
195;Maur;31.97067318;12.24172406;13.93023772;5.798711397;18.21817374;1.799600089;16.41857365;49.81115308
196;Mönchaltorf;35.73573574;13.45345345;15.91591592;6.366366366;19.15915916;2.162162162;16.996997;45.10510511
197;Schwerzenbach;27.17815345;12.26701344;10.31642826;4.594711747;19.72258344;1.777199827;17.94538362;53.09926311
198;Uster;27.60601562;11.86987672;10.37888078;5.357258117;18.71167624;2.01381269;16.69786355;53.68230814
199;Volketswil;27.23029046;10.14004149;11.11255187;5.977697095;20.92842324;1.776452282;19.15197095;51.84128631
200;Wangen-Brüttisellen;24.49355433;7.888275015;9.760589319;6.844689994;19.88950276;1.657458564;18.2320442;55.61694291
211;Altikon;30.3630363;9.900990099;14.52145215;5.940594059;18.48184818;1.320132013;17.16171617;51.15511551
213;Brütten;32.70089286;11.38392857;14.0625;7.254464286;18.30357143;1.339285714;16.96428571;48.99553571
