Stand,Kanton,Jahr,Stufe,Schultyp,Geschlecht,Nationalitaet,Finanzierung,Anzahl
23.11.2020,zh,2001,Sekundarstufe II,Brückenangebot,F,CH,oef,675
23.11.2020,zh,2001,Sekundarstufe II,Brückenangebot,M,Ausländer,oef,405
23.11.2020,zh,2001,Sekundarstufe II,Heim- und Sonderschule,M,CH,oef,56
23.11.2020,zh,2001,Sekundarstufe II,Mittelschule,F,CH,oef,5241
23.11.2020,zh,2001,Sekundarstufe II,Mittelschule,F,CH,priv,655
23.11.2020,zh,2001,Sekundarstufe II,Mittelschule,M,Ausländer,priv,193
23.11.2020,zh,2001,Sekundarstufe II,Berufsfachschule,M,CH,priv,1234
23.11.2020,zh,2001,Sekundarstufe II,Heim- und Sonderschule,F,Ausländer,oef,16
23.11.2020,zh,2001,Sekundarstufe II,Brückenangebot,M,Ausländer,priv,35
23.11.2020,zh,2001,Sekundarstufe II,Heim- und Sonderschule,M,Ausländer,oef,25
23.11.2020,zh,2001,Sekundarstufe II,Berufsfachschule,F,Ausländer,priv,387
23.11.2020,zh,2001,Sekundarstufe II,Mittelschule,M,Ausländer,oef,281
23.11.2020,zh,2001,Sekundarstufe II,Heim- und Sonderschule,F,CH,priv,4
23.11.2020,zh,2001,Sekundarstufe II,Heim- und Sonderschule,F,Ausländer,priv,1
23.11.2020,zh,2001,Sekundarstufe II,Berufsfachschule,M,Ausländer,oef,3901
23.11.2020,zh,2001,Sekundarstufe II,Mittelschule,M,CH,priv,485
23.11.2020,zh,2001,Sekundarstufe II,Heim- und Sonderschule,M,CH,priv,7
23.11.2020,zh,2001,Sekundarstufe II,Berufsfachschule,F,Ausländer,oef,2517
23.11.2020,zh,2001,Sekundarstufe II,Brückenangebot,M,CH,priv,130
23.11.2020,zh,2001,Sekundarstufe II,Mittelschule,F,Ausländer,priv,191
23.11.2020,zh,2001,Sekundarstufe II,Heim- und Sonderschule,M,Ausländer,priv,1
23.11.2020,zh,2001,Sekundarstufe II,Berufsfachschule,M,Ausländer,priv,282
23.11.2020,zh,2001,Sekundarstufe II,Heim- und Sonderschule,F,CH,oef,35
23.11.2020,zh,2001,Sekundarstufe II,Berufsfachschule,F,CH,oef,12477
23.11.2020,zh,2001,Sekundarstufe II,Mittelschule,F,Ausländer,oef,372
23.11.2020,zh,2001,Sekundarstufe II,Brückenangebot,F,Ausländer,oef,429
23.11.2020,zh,2001,Sekundarstufe II,Berufsfachschule,F,CH,priv,2473
23.11.2020,zh,2001,Sekundarstufe II,Brückenangebot,M,CH,oef,442
23.11.2020,zh,2001,Tertiärstufe,Höhere Berufsbildung,M,CH,priv,2528
23.11.2020,zh,2001,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,CH,oef,2588
23.11.2020,zh,2001,Tertiärstufe,Höhere Berufsbildung,F,Ausländer,priv,169
23.11.2020,zh,2001,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,Ausländer,priv,46
23.11.2020,zh,2001,Tertiärstufe,Höhere Berufsbildung,M,CH,oef,4331
23.11.2020,zh,2001,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,Ausländer,oef,334
23.11.2020,zh,2001,Tertiärstufe,Höhere Berufsbildung,M,Ausländer,oef,501
23.11.2020,zh,2001,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,Ausländer,oef,286
23.11.2020,zh,2001,Tertiärstufe,Höhere Berufsbildung,F,CH,priv,1847
23.11.2020,zh,2001,Tertiärstufe,Höhere Berufsbildung,F,Ausländer,oef,222
23.11.2020,zh,2001,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,CH,priv,320
23.11.2020,zh,2001,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,CH,oef,2336
23.11.2020,zh,2001,Tertiärstufe,Höhere Berufsbildung,F,CH,oef,3194
23.11.2020,zh,2001,Tertiärstufe,Höhere Berufsbildung,M,Ausländer,priv,252
23.11.2020,zh,2001,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,Ausländer,priv,116
23.11.2020,zh,2001,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,CH,priv,1097
23.11.2020,zh,2002,Primarstufe 1-2,Volksschule,M,Ausländer,priv,203
23.11.2020,zh,2002,Primarstufe 1-2,Heim- und Sonderschule,F,CH,oef,119
23.11.2020,zh,2002,Primarstufe 1-2,Heim- und Sonderschule,M,Ausländer,oef,152
23.11.2020,zh,2002,Primarstufe 1-2,Volksschule,F,Ausländer,priv,177
23.11.2020,zh,2002,Primarstufe 1-2,Volksschule,F,Ausländer,oef,3284
23.11.2020,zh,2002,Primarstufe 1-2,Volksschule,M,CH,oef,8681
23.11.2020,zh,2002,Primarstufe 1-2,Heim- und Sonderschule,F,Ausländer,oef,111
23.11.2020,zh,2002,Primarstufe 1-2,Volksschule,F,CH,priv,306
23.11.2020,zh,2002,Primarstufe 1-2,Volksschule,M,CH,priv,294
23.11.2020,zh,2002,Primarstufe 1-2,Volksschule,F,CH,oef,8333
23.11.2020,zh,2002,Primarstufe 1-2,Volksschule,M,Ausländer,oef,3566
23.11.2020,zh,2002,Primarstufe 1-2,Heim- und Sonderschule,M,CH,oef,242
23.11.2020,zh,2002,Primarstufe 3-8,Heim- und Sonderschule,M,CH,oef,713
23.11.2020,zh,2002,Primarstufe 3-8,Heim- und Sonderschule,F,CH,oef,358
23.11.2020,zh,2002,Primarstufe 3-8,Berufsfachschule,M,CH,priv,11
23.11.2020,zh,2002,Primarstufe 3-8,Heim- und Sonderschule,M,Ausländer,priv,1
23.11.2020,zh,2002,Primarstufe 3-8,Berufsfachschule,F,CH,priv,43
23.11.2020,zh,2002,Primarstufe 3-8,Volksschule,M,CH,priv,1200
23.11.2020,zh,2002,Primarstufe 3-8,Volksschule,F,CH,priv,1012
23.11.2020,zh,2002,Primarstufe 3-8,Volksschule,M,Ausländer,oef,10866
23.11.2020,zh,2002,Primarstufe 3-8,Volksschule,F,Ausländer,oef,10005
23.11.2020,zh,2002,Primarstufe 3-8,Berufsfachschule,F,Ausländer,priv,11
23.11.2020,zh,2002,Primarstufe 3-8,Berufsfachschule,M,Ausländer,priv,1
23.11.2020,zh,2002,Primarstufe 3-8,Volksschule,F,Ausländer,priv,567
23.11.2020,zh,2002,Primarstufe 3-8,Heim- und Sonderschule,F,Ausländer,oef,109
23.11.2020,zh,2002,Primarstufe 3-8,Volksschule,M,CH,oef,28746
23.11.2020,zh,2002,Primarstufe 3-8,Volksschule,F,CH,oef,27449
23.11.2020,zh,2002,Primarstufe 3-8,Heim- und Sonderschule,M,Ausländer,oef,226
23.11.2020,zh,2002,Primarstufe 3-8,Volksschule,M,Ausländer,priv,588
23.11.2020,zh,2002,Sekundarstufe I,Volksschule,M,Ausländer,priv,339
23.11.2020,zh,2002,Sekundarstufe I,Volksschule,F,Ausländer,priv,273
23.11.2020,zh,2002,Sekundarstufe I,Mittelschule,F,Ausländer,oef,224
23.11.2020,zh,2002,Sekundarstufe I,Mittelschule,M,CH,priv,176
23.11.2020,zh,2002,Sekundarstufe I,Mittelschule,F,Ausländer,priv,12
23.11.2020,zh,2002,Sekundarstufe I,Mittelschule,M,Ausländer,priv,16
23.11.2020,zh,2002,Sekundarstufe I,Volksschule,M,CH,oef,11231
23.11.2020,zh,2002,Sekundarstufe I,Mittelschule,F,CH,priv,168
23.11.2020,zh,2002,Sekundarstufe I,Mittelschule,M,Ausländer,oef,194
23.11.2020,zh,2002,Sekundarstufe I,Heim- und Sonderschule,M,Ausländer,priv,3
23.11.2020,zh,2002,Sekundarstufe I,Heim- und Sonderschule,M,CH,priv,5
23.11.2020,zh,2002,Sekundarstufe I,Heim- und Sonderschule,F,Ausländer,oef,46
23.11.2020,zh,2002,Sekundarstufe I,Volksschule,M,CH,priv,1269
23.11.2020,zh,2002,Sekundarstufe I,Volksschule,F,CH,oef,10819
23.11.2020,zh,2002,Sekundarstufe I,Heim- und Sonderschule,M,CH,oef,355
23.11.2020,zh,2002,Sekundarstufe I,Heim- und Sonderschule,M,Ausländer,oef,100
23.11.2020,zh,2002,Sekundarstufe I,Heim- und Sonderschule,F,CH,oef,179
23.11.2020,zh,2002,Sekundarstufe I,Volksschule,F,Ausländer,oef,4130
23.11.2020,zh,2002,Sekundarstufe I,Mittelschule,M,CH,oef,2443
23.11.2020,zh,2002,Sekundarstufe I,Volksschule,M,Ausländer,oef,4399
23.11.2020,zh,2002,Sekundarstufe I,Volksschule,F,CH,priv,906
23.11.2020,zh,2002,Sekundarstufe I,Mittelschule,F,CH,oef,3006
23.11.2020,zh,2002,Sekundarstufe II,Heim- und Sonderschule,M,CH,oef,54
23.11.2020,zh,2002,Sekundarstufe II,Berufsfachschule,M,Ausländer,oef,3939
23.11.2020,zh,2002,Sekundarstufe II,Mittelschule,M,Ausländer,priv,207
23.11.2020,zh,2002,Sekundarstufe II,Heim- und Sonderschule,F,Ausländer,oef,23
23.11.2020,zh,2002,Sekundarstufe II,Berufsfachschule,M,CH,priv,1367
23.11.2020,zh,2002,Sekundarstufe II,Mittelschule,M,Ausländer,oef,231
23.11.2020,zh,2002,Sekundarstufe II,Mittelschule,F,CH,priv,572
23.11.2020,zh,2002,Sekundarstufe II,Mittelschule,M,CH,oef,2884
23.11.2020,zh,2002,Sekundarstufe II,Berufsfachschule,F,CH,priv,2654
23.11.2020,zh,2002,Sekundarstufe II,Brückenangebot,F,CH,priv,184
23.11.2020,zh,2002,Sekundarstufe II,Heim- und Sonderschule,F,CH,oef,35
23.11.2020,zh,2002,Sekundarstufe II,Mittelschule,F,CH,oef,4222
23.11.2020,zh,2002,Sekundarstufe II,Heim- und Sonderschule,M,CH,priv,1
23.11.2020,zh,2002,Sekundarstufe II,Brückenangebot,F,CH,oef,673
23.11.2020,zh,2002,Sekundarstufe II,Mittelschule,M,CH,priv,402
23.11.2020,zh,2002,Sekundarstufe II,Berufsfachschule,M,CH,oef,16705
23.11.2020,zh,2002,Sekundarstufe II,Brückenangebot,F,Ausländer,oef,444
23.11.2020,zh,2002,Sekundarstufe II,Berufsfachschule,F,Ausländer,oef,2580
23.11.2020,zh,2002,Sekundarstufe II,Heim- und Sonderschule,M,Ausländer,oef,29
23.11.2020,zh,2002,Sekundarstufe II,Brückenangebot,F,Ausländer,priv,50
23.11.2020,zh,2002,Sekundarstufe II,Mittelschule,F,Ausländer,priv,205
23.11.2020,zh,2002,Sekundarstufe II,Brückenangebot,M,CH,oef,507
23.11.2020,zh,2002,Sekundarstufe II,Brückenangebot,M,CH,priv,168
23.11.2020,zh,2002,Sekundarstufe II,Brückenangebot,M,Ausländer,oef,404
23.11.2020,zh,2002,Sekundarstufe II,Brückenangebot,M,Ausländer,priv,43
23.11.2020,zh,2002,Sekundarstufe II,Berufsfachschule,F,Ausländer,priv,426
23.11.2020,zh,2002,Sekundarstufe II,Mittelschule,F,Ausländer,oef,327
23.11.2020,zh,2002,Sekundarstufe II,Berufsfachschule,M,Ausländer,priv,372
23.11.2020,zh,2002,Sekundarstufe II,Berufsfachschule,F,CH,oef,13245
23.11.2020,zh,2002,Tertiärstufe,Höhere Berufsbildung,F,CH,priv,3397
23.11.2020,zh,2002,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,Ausländer,oef,309
23.11.2020,zh,2002,Tertiärstufe,Höhere Berufsbildung,F,Ausländer,oef,328
23.11.2020,zh,2002,Tertiärstufe,Höhere Berufsbildung,M,Ausländer,priv,352
23.11.2020,zh,2002,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,CH,oef,3187
23.11.2020,zh,2002,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,Ausländer,oef,396
23.11.2020,zh,2002,Tertiärstufe,Höhere Berufsbildung,F,CH,oef,3319
23.11.2020,zh,2002,Tertiärstufe,Höhere Berufsbildung,M,Ausländer,oef,550
23.11.2020,zh,2002,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,CH,priv,369
23.11.2020,zh,2002,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,Ausländer,priv,122
