data_name;organization_name;division_name;department_name;body_name;published;published_format;published_source;published_ressource;accrualPeriodicity;release_status;status_description;status_updated;dct:issued;dct:publisher;dct:title
Leistungsdaten Transaktionsplattform ZHservices (E-Government-Leistungen des Kantons Zürich) ;Abteilung Digitale Verwaltung und E-Government;;Staatskanzlei;Kanton Zürich;;;;;;1 in Liste aufgenommen;;19.08.2019;;;
Handänderungen (Immobilienpreise);Statistisches Amt;Analysen & Studien;Direktion der Justiz und des Innern;Kanton Zürich;;;;;;1 in Liste aufgenommen;;06.08.2019;;;
Berufe/Funktionen/Rollen in der kantonalen Verwaltung;Personalamt;;Finanzdirektion;Kanton Zürich;;;;;;1 in Liste aufgenommen;;06.08.2019;;;
Auszubildende/Ausbildungsplätze in der kantonalen Verwaltung;Personalamt;;Finanzdirektion;Kanton Zürich;;;;;;1 in Liste aufgenommen;;06.08.2019;;;
Vergleich der schweregradbereinigten Fallkosten für stationäre Spitalbehandlungen (Fallkostenvergleich);Geschäftsfeld Gesundheitsversorgung;Abteilung Datenanalyse;Gesundheitsdirektion;Kanton Zürich;ja;pdf;Indikatoren: https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/behoerden/qualitaet-in-listenspitaelern/indikationsqualitaet--ambulant-vor-stationaer.html;;jährlich;1 in Liste aufgenommen;Jährliche Medienmitteilung;08.07.2019;;gesundheitsdirektion-kanton-zuerich;
Gemeindeverzeichnis des Kantons Zürich;Gemeindeamt;;Direktion der Justiz und des Innern;Kanton Zürich;ja;pdf;https://gaz.zh.ch/internet/justiz_inneres/gaz/de/gemeindeorganisation/zuercher-gemeinden.html;;;1 in Liste aufgenommen;;02.07.2019;;;
Gemeinde-Befragungen;Statistisches Amt;Befragungen und Sozialhilfestatistik;Direktion der Justiz und des Innern;Kanton Zürich;;;;;;1 in Liste aufgenommen;;02.07.2019;;;
Hundeinventar (Registrierung);Statistisches Amt;;Direktion der Justiz und des Innern;Kanton Zürich;;;;;;1 in Liste aufgenommen;;02.07.2019;;;
Abstimmungen des Zürcher Kantonsrats;Parlamentsdienste des Kantonsrates;;;Kantonsrat Zürich;;;;;;1 in Liste aufgenommen;;02.07.2019;;;
Anwendungsbewilligung Pflanzenschutzmittel im Wald;Amt für Landschaft und Natur;Abteilung Wald;Baudirektion;Kanton Zürich;nein;;;;jährlich;1 in Liste aufgenommen;Statistische Tätigkeit/Erhebung eines kantonalen Statistikproduzenten ;28.06.2019;;;
Arbeitsmarktstatistik;Amt für Wirtschaft und Arbeit;Arbeitsmarkt, RAV;Volkswirtschaftsdirektion;Kanton Zürich;ja;;;;laufend;1 in Liste aufgenommen;"Statistische Tätigkeit/Erhebung eines kantonalen Statistikproduzenten; wird publiziert via Seco Datenbanken AVAM/Lamda/Viador";28.06.2019;;;
Schweizerische Forststatistik (Erhebung von Kennzahlen aller Forstbetriebe der Schweiz);Amt für Landschaft und Natur;Abteilung Wald;Baudirektion;Kanton Zürich;;;;;jährlich;1 in Liste aufgenommen;Statistische Tätigkeit/Erhebung eines kantonalen Statistikproduzenten ;07.05.2019;;;
