Stand,Kanton,Jahr,Stufe,Typ,Geschlecht,Finanzierung,Land,Anzahl
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,M,oef,Süd-/Osteuropa,1
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Serbien,1
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Mittel- und Südamerika,5
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Deutschland,44
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Österreich,9
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Bosnien und Herzegowina,7
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Griechenland,6
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Österreich,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Mittel- und Südamerika,1
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Spanien,2
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Serbien,44
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Italien,55
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Afrika,8
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Spanien,3
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Portugal,4
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,M,oef,Schweiz,92
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Nord-/Westeuropa,17
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Deutschland,12
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Staat unbekannt,1
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,F,oef,Griechenland,1
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,F,oef,Nord-/Westeuropa,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Kroatien,2
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Italien,9
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Schweiz,181
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Schweiz,3580
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,priv,Frankreich,2
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,priv,Afrika,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,priv,Spanien,1
23.11.2020,zh,2001,Sekundarstufe I,Handelsmittelschule,F,oef,Serbien,2
23.11.2020,zh,2001,Sekundarstufe I,Handelsmittelschule,M,oef,Deutschland,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Bosnien und Herzegowina,4
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,priv,Staat unbekannt,2
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Nordamerika,6
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Deutschland,41
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Spanien,11
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,priv,Kroatien,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Afrika,2
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,priv,Serbien,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Griechenland,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Nordmazedonien,7
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,priv,Schweiz,147
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,priv,Nordmazedonien,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Serbien,19
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Italien,16
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,priv,Staat unbekannt,2
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,priv,Deutschland,8
23.11.2020,zh,2001,Sekundarstufe I,Handelsmittelschule,M,oef,Portugal,2
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,priv,Serbien,1
